center_code,transfer_type
CC11123,"drop_off,courier,rider"
CC12680,"drop_off,courier,rider"
DC1763,"drop_off,courier,rider"
DC4147,"drop_off,courier,rider"
CC1624,"drop_off,courier,rider"
CC10841,"drop_off,courier,rider"
DC10376,"drop_off,courier,rider"
DC13354,"drop_off,courier,rider"
DC5498,"drop_off,courier,rider"
DC7021,"drop_off,courier,rider"
DC4005,"drop_off,courier,rider"
DC6230,"drop_off,courier,rider"
CC12347,"drop_off,courier,rider"
CC2033,"drop_off,courier,rider"
GELAB11363,"drop_off,courier,rider"
F404,"drop_off,courier,rider"
DC6794,"drop_off,courier,rider"
DC4683,"drop_off,courier,rider"
DC9004,"drop_off,courier,rider"
DC9102,"drop_off,courier,rider"
DC11302,"drop_off,courier,rider"
F634,"drop_off,courier,rider"
DC10802,"drop_off,courier,rider"
DC10451,"drop_off,courier,rider"
CC3504,"drop_off,courier,rider"
DC12888,"drop_off,courier,rider"
DC10997,"drop_off,courier,rider"
DC11925,"drop_off,courier,rider"
OLC12485,"drop_off,courier,rider"
DC1785,"drop_off,courier,rider"
DC6787,"drop_off,courier,rider"
DC13393,"drop_off,courier,rider"
DC10038,"drop_off,courier,rider"
DC11165,"drop_off,courier,rider"
CC9613,"drop_off,courier,rider"
OLC13616,"drop_off,courier,rider"
DC9884,"drop_off,courier,rider"
OLC9283,"drop_off,courier,rider"
CC5761,"drop_off,courier,rider"
DC10235,"drop_off,courier,rider"
CC11944,"drop_off,courier,rider"
CC5466,"drop_off,courier,rider"
DC10131,"drop_off,courier,rider"
DC13369,"drop_off,courier,rider"
DC10793,"drop_off,courier,rider"
DC4454,"drop_off,courier,rider"
OLC13410,"drop_off,courier,rider"
DC10461,"drop_off,courier,rider"
DC10028,"drop_off,courier,rider"
F1024,"drop_off,courier,rider"
DC10015,"drop_off,courier,rider"
DC6484,"drop_off,courier,rider"
DC10036,"drop_off,courier,rider"
DC10454,"drop_off,courier,rider"
CC8678,"drop_off,courier,rider"
CC13158,"drop_off,courier,rider"
CC12333,"drop_off,courier,rider"
DC1739,"drop_off,courier,rider"
CC8060,"drop_off,courier,rider"
DC5141,"drop_off,courier,rider"
DC9513,"drop_off,courier,rider"
DC10375,"drop_off,courier,rider"
DC5714,"drop_off,courier,rider"
DC13387,"drop_off,courier,rider"
CC6177,"drop_off,courier,rider"
DC10414,"drop_off,courier,rider"
DC10744,"drop_off,courier,rider"
DC7177,"drop_off,courier,rider"
CC5405,"drop_off,courier,rider"
DC6294,"drop_off,courier,rider"
DC6869,"drop_off,courier,rider"
DC3052,"drop_off,courier,rider"
GELAB3526,"drop_off,courier,rider"
DC6779,"drop_off,courier,rider"
OLC13258,"drop_off,courier,rider"
DC13205,"drop_off,courier,rider"
DC10456,"drop_off,courier,rider"
DC9696,"drop_off,courier,rider"
CC13401,"drop_off,courier,rider"
DC6222,"drop_off,courier,rider"
DC8150,"drop_off,courier,rider"
CC5456,"drop_off,courier,rider"
DC9159,"drop_off,courier,rider"
CC574,"drop_off,courier,rider"
DC10427,"drop_off,courier,rider"
CC3288,"drop_off,courier,rider"
DC11668,"drop_off,courier,rider"
DC5573,"drop_off,courier,rider"
CC2735,"drop_off,courier,rider"
DC12318,"drop_off,courier,rider"
DC13302,"drop_off,courier,rider"
DC10435,"drop_off,courier,rider"
DC7062,"drop_off,courier,rider"
DC10436,"drop_off,courier,rider"
DC5569,"drop_off,courier,rider"
DC6168,"drop_off,courier,rider"
DC8670,"drop_off,courier,rider"
DC3400,"drop_off,courier,rider"
DC3666,"drop_off,courier,rider"
DC13322,"drop_off,courier,rider"
DC13652,"drop_off,courier,rider"
CC12426,"drop_off,courier,rider"
CC6172,"drop_off,courier,rider"
DC11917,"drop_off,courier,rider"
DC13441,"drop_off,courier,rider"
DC6272,"drop_off,courier,rider"
DC10030,"drop_off,courier,rider"
DC10195,"drop_off,courier,rider"
DC1386,"drop_off,courier,rider"
DC13080,"drop_off,courier,rider"
CC12618,"drop_off,courier,rider"
GELAB4458,"drop_off,courier,rider"
CC2080,"drop_off,courier,rider"
CC9618,"drop_off,courier,rider"
DC10405,"drop_off,courier,rider"
DC4374,"drop_off,courier,rider"
DC6732,"drop_off,courier,rider"
DC6163,"drop_off,courier,rider"
CC9588,"drop_off,courier,rider"
DC12957,"drop_off,courier,rider"
DC12311,"drop_off,courier,rider"
DC6796,"drop_off,courier,rider"
DC9198,"drop_off,courier,rider"
DC4632,"drop_off,courier,rider"
GELAB5131,"drop_off,courier,rider"
DC6165,"drop_off,courier,rider"
DC8559,"drop_off,courier,rider"
DC9886,"drop_off,courier,rider"
CC9383,"drop_off,courier,rider"
DC11773,"drop_off,courier,rider"
DC13164,"drop_off,courier,rider"
DC7440,"drop_off,courier,rider"
DC9740,"drop_off,courier,rider"
DC10380,"drop_off,courier,rider"
DC5608,"drop_off,courier,rider"
CC7930,"drop_off,courier,rider"
DC2506,"drop_off,courier,rider"
CC5717,"drop_off,courier,rider"
DC9887,"drop_off,courier,rider"
DC11097,"drop_off,courier,rider"
DC10239,"drop_off,courier,rider"
DC10024,"drop_off,courier,rider"
DC1774,"drop_off,courier,rider"
DC9672,"drop_off,courier,rider"
DC1340,"drop_off,courier,rider"
DC3849,"drop_off,courier,rider"
DC10473,"drop_off,courier,rider"
DC6143,"drop_off,courier,rider"
DC6949,"drop_off,courier,rider"
DC7812,"drop_off,courier,rider"
DC1702,"drop_off,courier,rider"
DC12604,"drop_off,courier,rider"
DC6788,"drop_off,courier,rider"
DC12761,"drop_off,courier,rider"
DC10518,"drop_off,courier,rider"
